MATCH_DATE,HOME_TEAM,AWAY_TEAM,A Win,B Win,Home Win,H_PLUS_MINUS_LS,A_PLUS_MINUS_LS,H_AVG_ODDS_L5,H_PLUS_MINUS_L5,A_PLUS_MINUS_L5,A_AVG_ODDS_L5,LS_PPG_DIFF,LS_FGPCT_DIFF,LS_FTPCT_DIFF,LS_TPPCT_DIFF,LS_OFF_REB_DIFF,LS_ASSIST_DIFF,LS_STEALS_DIFF,LS_TURNOVERS_DIFF,LS_BLOCKS_DIFF,L5_PPG_DIFF,L5_FGPCT_DIFF,L5_FTPCT_DIFF,L5_TPPCT_DIFF,L5_OFF_REB_DIFF,L5_ASSIST_DIFF,L5_STEALS_DIFF,L5_TURNOVERS_DIFF,L5_BLOCKS_DIFF
2016-11-03,LA Clippers,Oklahoma City Thunder,1.33,3.40,0,4.28,-4.13,-447,12.40,-6.40,164,5.30,0.04,-0.01,0.05,-1.67,-0.11,0.51,-1.88,-0.19,3.60,4.20,-8.00,-2.00,-1.40,-1.00,-0.20,-0.60,1.40
2016-11-03,Orlando Magic,Sacramento Kings,2.00,1.83,1,-4.08,-1.16,-105,1.60,-7.00,386,0.01,0.01,0.04,-0.01,-0.50,-0.28,-0.29,0.71,-0.55,9.60,3.20,7.60,3.00,2.80,3.00,0.80,-5.40,0.60
2016-11-04,Milwaukee Bucks,Indiana Pacers,2.25,1.69,1,-8.89,1.71,-35,-9.40,-9.20,148,-4.65,-0.08,-0.06,-0.07,0.46,-3.10,-1.78,-1.71,-0.62,3.20,-0.20,-6.80,-8.20,2.20,3.20,1.40,-0.40,-1.00
2016-11-04,Minnesota Timberwolves,Denver Nuggets,1.61,2.45,0,-3.54,-2.03,-88,3.40,-1.60,103,1.53,0.09,0.12,0.06,0.87,1.53,1.15,2.45,0.82,2.00,4.20,1.60,0.00,-3.20,5.40,2.60,0.00,-2.40
2016-11-04,Cleveland Cavaliers,Boston Celtics,1.14,5.50,1,-1.66,3.21,-410,9.20,-9.00,87,-3.24,0.03,0.05,0.06,-0.19,-1.43,-2.95,-0.30,1.05,20.60,7.20,-1.80,4.40,3.60,0.00,3.00,-2.60,-1.60
2016-11-04,Golden State Warriors,Oklahoma City Thunder,1.12,6.25,1,0.74,-4.13,-255,0.00,-7.20,146,2.55,-0.07,-0.12,-0.01,1.60,-3.14,-1.12,-1.92,-2.07,4.40,3.20,3.00,3.80,-1.60,4.20,1.00,0.40,3.00
2016-11-04,Washington Wizards,Atlanta Hawks,1.83,2.00,1,-2.05,2.84,-208,6.20,-0.20,-8,4.37,0.07,0.03,0.06,2.34,-0.66,0.11,1.00,-1.53,16.20,8.60,-5.60,3.80,1.20,6.40,2.00,0.80,-1.80
2016-11-04,Toronto Raptors,Miami Heat,1.33,3.40,1,-5.97,3.52,10,-0.40,-4.20,165,-2.68,0.01,0.11,0.01,2.66,-1.66,-0.70,4.02,-1.60,3.00,0.60,9.00,-12.00,0.60,-1.80,1.00,-3.60,-2.00
2016-11-04,Brooklyn Nets,Charlotte Hornets,3.25,1.36,0,-7.23,-6.92,192,-5.80,-5.20,77,0.07,0.04,0.06,0.03,0.10,0.17,-0.10,0.25,-0.05,7.40,4.80,-9.60,3.00,0.80,4.00,3.00,4.80,0.60
2016-11-05,Chicago Bulls,New York Knicks,1.31,3.55,0,2.46,1.72,-138,6.40,-9.80,221,2.77,0.00,0.10,0.04,-1.13,0.70,0.52,-1.51,-1.28,13.60,1.20,3.60,14.80,4.20,5.60,0.00,-1.80,-0.40
